Name,Price,Rating,URL
Crucial 2 TB External Solid State Drive (SSD),Rs.12161,4.4,https://www.flipkart.com/crucial-2-tb-external-solid-state-drive-ssd/p/itm2c5ce2897390e?pid=ACCGBCRHRZ76RTUS&lid=LSTACCGBCRHRZ76RTUSVSG7P5&marketplace=FLIPKART&store=6bo&srno=b_1_21&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ2nkNLO1twvtgqw8jF_H_Mu3-NXXLYD0zP9dmN8PI0Ie8DbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI Modern 15 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-291IN Thin and Light Laptop,Rs.53990,4.1,https://www.flipkart.com/msi-modern-15-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-b13m-291in-thin-light-laptop/p/itmf413fdbe8af01?pid=COMGMV6VU9YWMPGH&lid=LSTCOMGMV6VU9YWMPGHUNDWND&marketplace=FLIPKART&store=6bo&srno=b_1_22&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ138feUG8LcrD4QRQVff0Qh3v1G37ok-17q-GDU7Dixr4E8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
K7 Latest Version 1 PC 1 Year Total Security (Email Delivery - No CD),Rs.315,4.4,https://www.flipkart.com/k7-latest-version-1-pc-year-total-security-email-delivery-no-cd/p/itmfae107dbee1a8?pid=DSFFR697KCS9UZZG&lid=LSTDSFFR697KCS9UZZGVU8BKR&marketplace=FLIPKART&store=6bo&srno=b_1_23&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.DSFFR697KCS9UZZG.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Sk creations Screen Cleaning Kit with Micro Fiber Cloth and Brush for Mobile Laptop PC (100ml) for Computers Laptops Mobiles,Rs.120,4.1,https://www.flipkart.com/sk-creations-screen-cleaning-kit-micro-fiber-cloth-brush-mobile-laptop-pc-100ml-computers-laptops-mobiles/p/itm786581677da94?pid=CLKFXWHAEEQAEJMF&lid=LSTCLKFXWHAEEQAEJMFWWVVGA&marketplace=FLIPKART&store=6bo&srno=b_1_24&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.CLKFXWHAEEQAEJMF.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Consistent 1600 DDR3 8 GB (Single Channel) PC Dasktop (8GB DDR3),Rs.760,4.1,https://www.flipkart.com/consistent-1600-ddr3-8-gb-single-channel-pc-dasktop-8gb-ddr3/p/itm1ada13da124b8?pid=RAMGENYUHHFV2VPG&lid=LSTRAMGENYUHHFV2VPGUBP8FU&marketplace=FLIPKART&store=6bo&srno=b_1_25&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.RAMGENYUHHFV2VPG.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
ZEBRONICS Zeb-Transformer Premium Gaming Keyboard and Mouse Combo Set,Rs.1299,4.4,https://www.flipkart.com/zebronics-zeb-transformer-premium-gaming-keyboard-mouse-combo-set/p/itmda3dd575d0f1d?pid=CASF4YTGKWEVQBHX&lid=LSTCASF4YTGKWEVQBHXWPOTHF&marketplace=FLIPKART&store=6bo&srno=b_1_26&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.CASF4YTGKWEVQBHX.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) Thin GF63 12VE-071IN Gaming Laptop,Rs.69990,4.6,https://www.flipkart.com/msi-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-thin-gf63-12ve-071in-gaming-laptop/p/itme11f9b16d2c8d?pid=COMGTWHYTHH93XPZ&lid=LSTCOMGTWHYTHH93XPZDFGQVD&marketplace=FLIPKART&store=6bo&srno=b_1_27&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ12_p_aC11-bhXnnHECts5BVJXoU1Jyccqn0sTbWsd6QiqhaHrzSI4OjvZa1DRoeKc%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Bestor Ultra-Low Friction Gaming Mouse Mat Anti-Slip Base High Durability Waterproof Mousepad,Rs.134,4.3,https://www.flipkart.com/bestor-ultra-low-friction-gaming-mouse-mat-anti-slip-base-high-durability-waterproof-mousepad/p/itm27158e5cb5daf?pid=ACCGPAZFQUJHHPNV&lid=LSTACCGPAZFQUJHHPNVY6S2KX&marketplace=FLIPKART&store=6bo&srno=b_1_28&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ2gbAoH5gwykpvwBcWSy982GBvzVp00gSZiOwGfsXbaTQ%3D%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Mi With 2 AAA Batteries 4A LCD LED Smart TV Remote Control Compatible for Smart TV MI Remote Controller,Rs.209,3.9,https://www.flipkart.com/mi-2-aaa-batteries-4a-lcd-led-smart-tv-remote-control-compatible-controller/p/itm5109b1929f4a8?pid=REMFZRMZZAXMTYPF&lid=LSTREMFZRMZZAXMTYPFDVJU93&marketplace=FLIPKART&store=6bo&srno=b_1_29&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.REMFZRMZZAXMTYPF.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
ZEBRONICS 4 Port ZEB-90HB USB Hub,Rs.149,3.7,https://www.flipkart.com/zebronics-4-port-zeb-90hb-usb-hub/p/itm040238e390e8d?pid=USGG4Z3KEWHYW2MG&lid=LSTUSGG4Z3KEWHYW2MGVKM9X9&marketplace=FLIPKART&store=6bo&srno=b_1_30&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.USGG4Z3KEWHYW2MG.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
